datetime,air_density
2019-01-05 06:00:00,"[[130.21986 129.82059 129.66748]
 [130.1624  129.81403 129.47472]
 [129.85165 129.66545 129.37288]]"
2019-01-05 12:00:00,"[[130.14363 130.05304 129.95627]
 [130.17023 130.05774 129.87288]
 [129.95615 129.89825 129.76682]]"
2019-01-05 18:00:00,"[[130.12181 129.898   129.73877]
 [129.8767  129.68982 129.58185]
 [129.7922  129.65094 129.53778]]"
2019-01-06 00:00:00,"[[129.48128 129.33676 129.30576]
 [129.45735 129.27756 129.14609]
 [129.43636 129.26564 129.12006]]"
2019-01-06 06:00:00,"[[129.39934 129.21213 129.15085]
 [129.28107 129.09843 128.92146]
 [129.11649 129.01335 128.85863]]"
2019-01-06 12:00:00,"[[128.82085 128.86798 128.95949]
 [128.92429 128.93684 128.83563]
 [128.70746 128.78244 128.71939]]"
2019-01-06 18:00:00,"[[128.68353 128.55974 128.52217]
 [128.69753 128.56645 128.39185]
 [128.48283 128.45842 128.36179]]"
2019-01-07 00:00:00,"[[128.39008 128.28044 128.37488]
 [128.51212 128.43645 128.22081]
 [128.05208 128.20537 128.13252]]"
2019-01-07 06:00:00,"[[128.48207 128.238   128.27632]
 [128.64207 128.49677 128.24042]
 [128.17119 128.34427 128.1951 ]]"
2019-01-07 12:00:00,"[[127.63645  127.62732  127.74157 ]
 [127.82691  127.82916  127.7049  ]
 [127.45412  127.631615 127.6023  ]]"
2019-01-07 18:00:00,"[[126.16791 126.11712 126.23916]
 [126.44234 126.41492 126.2974 ]
 [126.20751 126.35728 126.33721]]"
2019-01-08 00:00:00,"[[126.61259  126.49312  126.41071 ]
 [126.524925 126.39642  126.242836]
 [126.26363  126.20169  126.11807 ]]"
2019-01-08 06:00:00,"[[127.16277  126.978966 126.85904 ]
 [127.1604   126.96468  126.7831  ]
 [127.07806  126.91002  126.7683  ]]"
2019-01-08 12:00:00,"[[127.05244  126.95275  126.94355 ]
 [127.16401  127.080605 126.926636]
 [126.91225  126.966805 126.892296]]"
2019-01-08 18:00:00,"[[127.60944  127.450905 127.361916]
 [127.61655  127.463005 127.28693 ]
 [127.43729  127.35525  127.24336 ]]"
2019-01-09 00:00:00,"[[128.2903   127.982475 127.71279 ]
 [128.29512  127.99891  127.7617  ]
 [128.24173  127.966064 127.75455 ]]"
2019-01-09 06:00:00,"[[128.11487  127.890564 127.64684 ]
 [128.10245  127.816    127.58253 ]
 [128.14119  127.77474  127.54649 ]]"
2019-01-09 12:00:00,"[[127.782646 127.67581  127.54838 ]
 [127.92954  127.72009  127.47485 ]
 [127.95318  127.68523  127.45884 ]]"
2019-01-09 18:00:00,"[[128.36995  128.04558  127.685455]
 [128.11165  127.79138  127.56273 ]
 [127.97563  127.65764  127.47641 ]]"
2019-01-10 00:00:00,"[[128.93217 128.41975 127.84179]
 [128.67355 128.08417 127.67652]
 [128.69342 127.97395 127.59293]]"
2019-01-10 06:00:00,"[[129.33778 128.89789 128.42699]
 [129.10948 128.66689 128.2879 ]
 [129.02756 128.56035 128.22998]]"
2019-01-10 12:00:00,"[[129.04594 128.85245 128.62952]
 [129.05223 128.79074 128.51268]
 [128.92342 128.61917 128.37935]]"
2019-01-10 18:00:00,"[[128.71368 128.61653 128.51855]
 [128.73343 128.58862 128.4478 ]
 [128.7425  128.56831 128.4357 ]]"
